# SentinelX Sample Network Security Log
# Format: timestamp|source_ip|dest_ip|username|port|protocol|status|action
# Generated for demonstration purposes

2024-01-15 00:00:01|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:01|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:02|77.83.36.40|10.0.0.80|unknown|443|HTTPS|BLOCKED|CONNECTION
2024-01-15 00:00:02|77.83.36.40|10.0.0.80|unknown|443|HTTPS|BLOCKED|CONNECTION
2024-01-15 00:00:03|77.83.36.40|10.0.0.80|unknown|8080|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:03|77.83.36.40|10.0.0.80|unknown|8080|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:04|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:04|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:05|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:05|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:06|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:06|77.83.36.40|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-15 00:00:07|77.83.36.40|10.0.0.80|unknown|8443|HTTPS|BLOCKED|CONNECTION
2024-01-15 00:00:07|77.83.36.40|10.0.0.80|unknown|8443|HTTPS|BLOCKED|CONNECTION
2024-01-15 00:00:08|77.83.36.40|10.0.0.80|unknown|9090|TCP|BLOCKED|CONNECTION
2024-01-15 00:00:08|77.83.36.40|10.0.0.80|unknown|9090|TCP|BLOCKED|CONNECTION
2024-01-15 00:00:09|77.83.36.40|10.0.0.80|unknown|3306|TCP|BLOCKED|CONNECTION
2024-01-15 00:00:10|77.83.36.40|10.0.0.80|unknown|5432|TCP|BLOCKED|CONNECTION
2024-01-15 00:00:11|77.83.36.40|10.0.0.80|unknown|6379|TCP|BLOCKED|CONNECTION
2024-01-15 00:00:12|77.83.36.40|10.0.0.80|unknown|27017|TCP|BLOCKED|CONNECTION
2024-01-15 01:15:01|45.89.125.155|10.0.0.50|admin|22|SSH|FAILED|LOGIN
2024-01-15 01:15:02|45.89.125.155|10.0.0.50|root|22|SSH|FAILED|LOGIN
2024-01-15 01:15:03|45.89.125.155|10.0.0.50|admin|22|SSH|FAILED|LOGIN
2024-01-15 01:15:04|45.89.125.155|10.0.0.50|administrator|22|SSH|FAILED|LOGIN
2024-01-15 01:15:05|45.89.125.155|10.0.0.50|root|22|SSH|FAILED|LOGIN
2024-01-15 01:15:06|45.89.125.155|10.0.0.50|admin|22|SSH|FAILED|LOGIN
2024-01-15 01:15:07|45.89.125.155|10.0.0.50|admin|22|SSH|FAILED|LOGIN
